Unnamed: 0,Date,Day_of_Week,Time_Slot,Route_ID,Route_Name,Bus_ID,Driver_ID,Bus_Type,Total_Seats,Seats_Booked,Occupancy_Rate (%),Ticket_Price,Revenue_Per_Trip,Fuel_Consumption_Liters,Fuel_Efficiency_KMPL,Maintenance_Status,Last_Service_Date,Breakdown_Incidents,Disruption_Likelihood,Risk_Score,Delay_Probability,Expense_Per_Trip,Profit_Per_Trip,Weather,Festival_Season,Holiday,Special_Event,Avg_Travel_Time (mins),Delay_Mins,Start_Desitination,End_Destination,Distance_KM,Start_Destination,Avg_Travel_Time_Mins,Weather_Impact,Event_Type
0,23-03-2024,Saturday,Morning,216,Surat-Diu,GJ02-Sleeper-427,D494,Express,40,51,127.5,150,30164,48.48,5.09,Needs Repair,21-04-2024,2,0.35,Low,0.47,3067,6383,Clear,1,0,,202,19,Surat,Diu,285,Surat,167,Medium,Normal
1,25-06-2024,Tuesday,Night,119,Bhavnagar-Rajkot,GJ07-Sleeper-323,D496,Express,60,33,55,200,28932,33.94,4.31,Needs Repair,14-01-2024,1,0.37,Low,0.72,6052,5448,Clear,0,0,Navratri,265,32,Vadodara,Rajkot,190,Bhavnagar,118,Medium,Holiday
2,29-06-2024,Saturday,Morning,274,Gandhinagar-Mehsana,GJ07-Express-411,D202,Express,50,22,44,300,23029,13.6,5.02,Good,19-04-2024,0,0.87,Low,0.62,6152,7371,Clear,1,0,,213,20,Gandhinagar,Mehsana,80,Gandhinagar,50,Medium,Festival
3,28-01-2024,Sunday,Afternoon,273,Surat-Rajkot,GJ09-Express-439,D441,Non-AC,60,24,40,300,26404,70.53,5.03,Good,07-03-2024,2,0.53,Medium,0.75,4723,6933,Rainy,1,1,IPL Match,133,21,Ahmedabad,Rajkot,340,Surat,202,Medium,Festival
4,26-05-2024,Sunday,Night,498,Ahmedabad-Junagadh,GJ09-Sleeper-409,D237,Sleeper,40,34,85,150,21813,69.48,5.29,Needs Repair,28-01-2024,1,0.6,Medium,0.47,5388,6059,Rainy,0,0,IPL Match,169,16,Surat,Junagadh,330,Ahmedabad,158,Medium,Festival
5,10-02-2024,Saturday,Morning,113,Vadodara-Morbi,GJ01-Express-257,D399,Non-AC,60,28,46.67,300,27960,56.45,5.99,Good,28-02-2024,1,0.67,High,0.84,5868,6209,Rainy,1,0,Navratri,191,42,Ahmedabad,Morbi,260,Vadodara,149,Low,Normal
6,23-04-2024,Tuesday,Night,431,Ahmedabad-Junagadh,GJ04-Sleeper-394,D112,Express,50,60,120,150,17158,71.3,5.89,Needs Repair,05-03-2024,0,0.37,Low,0.56,4305,5017,Clear,0,0,Festival Season,295,11,Gandhinagar,Junagadh,330,Ahmedabad,212,Medium,Festival
7,17-05-2024,Friday,Night,320,Ahmedabad-Junagadh,GJ07-AC-281,D102,Express,60,30,50,150,22979,53.81,4.95,Good,23-04-2024,1,0.27,Low,0.18,4657,9033,Clear,0,1,,221,4,Gandhinagar,Junagadh,330,Ahmedabad,177,High,Normal
8,16-04-2024,Tuesday,Afternoon,325,Bhuj-Gandhidham,GJ01-Sleeper-426,D133,Express,60,42,70,250,21802,13.52,5.51,Needs Repair,27-06-2024,1,0.61,Medium,0.38,5304,6111,Rainy,1,1,IPL Match,256,15,Surat,Gandhidham,58,Bhuj,23,Low,Normal
9,03-03-2024,Sunday,Morning,337,Ahmedabad-Junagadh,GJ04-Non-AC-358,D442,Non-AC,40,39,97.5,250,23407,62.11,5.48,Good,07-06-2024,2,0.23,Low,0.77,4159,5642,Rainy,1,1,Festival Season,137,16,Ahmedabad,Junagadh,330,Ahmedabad,193,High,Normal
